SOURCE;URL;LANGUAGE
"il_post";"https://www.ilpost.it/feed/";"it-IT"
"il_corriere_della_sera";"http://xml2.corriereobjects.it/rss/homepage.xml";"it-IT"
"repubblica";"https://www.repubblica.it/rss/politica/rss2.0.xml";"it-IT"
"repubblica";"https://www.repubblica.it/rss/cronaca/rss2.0.xml";"it-IT"
"repubblica";"https://www.repubblica.it/rss/esteri/rss2.0.xml";"it-IT"
"ansa";"https://www.ansa.it/sito/ansait_rss.xml";"it-IT"
"adnkronos";"https://www.adnkronos.com/RSS_PrimaPagina.xml";"it-IT"
"il_messaggero";"https://www.ilmessaggero.it/rss/home.xml";"it-IT"
"libero_quotidiano";"https://www.liberoquotidiano.it/rss";"it-IT"
"il_sole_24ore";"https://www.ilsole24ore.com/rss/italia.xml";"it-IT"
"il_sole_24ore";"https://www.ilsole24ore.com/rss/mondo.xml";"it-IT"
"l_espresso";"https://espresso.repubblica.it/rss";"it-IT"
"televideo_rai";"http://www.televideo.rai.it/televideo/pub/rss110.xml";"it-IT"
"televideo_rai";"http://www.televideo.rai.it/televideo/pub/rss150.xml";"it-IT"
"televideo_rai";"http://www.televideo.rai.it/televideo/pub/rss140.xml";"it-IT"
"valigia_blu";"https://www.valigiablu.it/feed/";"it-IT"
"iternazionale";"https://www.internazionale.it/sitemaps/rss_italia.xml";"it-IT"
"agi";"https://www.agi.it/rss/";"it-IT"